broker_id,broker_name,broker_created_date,corporation_id,corporation_name,corporation_comments,client_id,client_name,client_address,transaction_id,transaction_date,investment_amount
2,Prime Brokers Group 2,2013-04-06,356,HeavyIndustries Corp 56,Risk profile: Medium,806,Investor G6,"798 Financial Way, Tower 1",10000,2025-06-16,21290.4
42,Apex Securities Group 42,2022-05-01,394,SoftSystems Corp 94,Risk profile: High,806,Investor G6,"798 Financial Way, Tower 1",10001,2025-04-04,19855.38
72,Prime Brokers Group 72,1992-10-04,376,TechLogix Corp 76,Risk profile: High,804,Investor E4,"755 Financial Way, Tower 4",10002,2025-02-24,4169.88
40,Global Investments Group 40,2006-11-23,320,SoftSystems Corp 20,Risk profile: Medium,868,Investor Q68,"871 Financial Way, Tower 1",10003,2025-11-16,32892.13
71,Global Investments Group 71,1996-10-09,391,BioGen Corp 91,Risk profile: Low,862,Investor K62,"7 Financial Way, Tower 1",10004,2025-09-27,45639.5
50,Apex Securities Group 50,2014-10-01,372,HeavyIndustries Corp 72,Risk profile: Medium,865,Investor N65,"277 Financial Way, Tower 2",10005,2025-06-03,21159.43
70,Apex Securities Group 70,2017-03-01,366,BioGen Corp 66,Risk profile: High,898,Investor U98,"971 Financial Way, Tower 3",10006,2025-05-27,40757.84
56,Nordic Capital Group 56,1992-07-12,335,BioGen Corp 35,Risk profile: High,803,Investor D3,"148 Financial Way, Tower 4",10007,2025-11-05,48534.33
29,Prime Brokers Group 29,2018-01-22,396,TechLogix Corp 96,Risk profile: Medium,864,Investor M64,"892 Financial Way, Tower 2",10008,2025-04-07,31282.4
93,Nordic Capital Group 93,2007-11-07,385,SoftSystems Corp 85,Risk profile: High,821,Investor V21,"32 Financial Way, Tower 4",10009,2025-10-13,48460.29
65,Prime Brokers Group 65,2001-12-16,397,GreenEnergy Corp 97,Risk profile: High,887,Investor J87,"772 Financial Way, Tower 3",10010,2025-09-13,24868.12
31,Apex Securities Group 31,2010-02-25,351,TechLogix Corp 51,Risk profile: High,841,Investor P41,"24 Financial Way, Tower 3",10011,2025-06-09,49292.31
40,Global Investments Group 40,2006-11-23,378,RetailFlow Corp 78,Risk profile: Low,882,Investor E82,"270 Financial Way, Tower 3",10012,2025-06-11,16575.97
4,Wall Street Assets Group 4,2015-05-01,314,HeavyIndustries Corp 14,Risk profile: Medium,857,Investor F57,"793 Financial Way, Tower 3",10013,2025-10-10,41831.48
33,Wall Street Assets Group 33,2022-06-10,319,TechLogix Corp 19,Risk profile: High,841,Investor P41,"24 Financial Way, Tower 3",10014,2025-04-10,13201.26
59,Nordic Capital Group 59,2003-06-19,393,BioGen Corp 93,Risk profile: High,886,Investor I86,"513 Financial Way, Tower 1",10015,2025-05-30,31671.3
26,Prime Brokers Group 26,2013-08-06,304,BioGen Corp 4,Risk profile: Medium,823,Investor X23,"876 Financial Way, Tower 4",10016,2025-04-02,41706.12
64,Prime Brokers Group 64,2012-01-07,340,BioGen Corp 40,Risk profile: High,816,Investor Q16,"710 Financial Way, Tower 1",10017,2025-05-07,11659.84
54,Wall Street Assets Group 54,2007-09-13,301,GreenEnergy Corp 1,Risk profile: High,877,Investor Z77,"306 Financial Way, Tower 5",10018,2025-07-11,45018.15
92,Prime Brokers Group 92,1992-04-24,311,BioGen Corp 11,Risk profile: Low,854,Investor C54,"594 Financial Way, Tower 5",10019,2025-01-16,36863.1
95,Prime Brokers Group 95,2008-02-11,328,BioGen Corp 28,Risk profile: Medium,818,Investor S18,"28 Financial Way, Tower 5",10020,2025-12-26,31172.16
12,Prime Brokers Group 12,1998-04-07,365,TechLogix Corp 65,Risk profile: High,899,Investor V99,"227 Financial Way, Tower 3",10021,2025-02-23,49802.36
49,Prime Brokers Group 49,2003-10-05,387,BioGen Corp 87,Risk profile: Medium,806,Investor G6,"798 Financial Way, Tower 1",10022,2025-06-26,31015.64
87,Wall Street Assets Group 87,2021-11-29,371,GreenEnergy Corp 71,Risk profile: High,808,Investor I8,"512 Financial Way, Tower 3",10023,2025-05-29,33158.68
12,Prime Brokers Group 12,1998-04-07,315,SoftSystems Corp 15,Risk profile: Medium,872,Investor U72,"192 Financial Way, Tower 4",10024,2025-08-27,39129.93
99,Prime Brokers Group 99,1998-11-02,395,HeavyIndustries Corp 95,Risk profile: Low,898,Investor U98,"971 Financial Way, Tower 3",10025,2025-03-08,35778.26
17,Wall Street Assets Group 17,1990-07-18,353,TechLogix Corp 53,Risk profile: Low,853,Investor B53,"962 Financial Way, Tower 2",10026,2025-09-17,8432.57
60,Global Investments Group 60,2003-02-01,363,RetailFlow Corp 63,Risk profile: Medium,844,Investor S44,"760 Financial Way, Tower 4",10027,2025-05-20,36045.92
93,Nordic Capital Group 93,2007-11-07,390,TechLogix Corp 90,Risk profile: High,895,Investor R95,"963 Financial Way, Tower 3",10028,2025-06-29,2589.18
18,Nordic Capital Group 18,2019-04-07,316,TechLogix Corp 16,Risk profile: High,806,Investor G6,"798 Financial Way, Tower 1",10029,2025-12-26,27280.13
46,Wall Street Assets Group 46,2011-06-11,324,BioGen Corp 24,Risk profile: Low,809,Investor J9,"879 Financial Way, Tower 2",10030,2025-04-14,34813.05
65,Prime Brokers Group 65,2001-12-16,306,TechLogix Corp 6,Risk profile: Medium,807,Investor H7,"563 Financial Way, Tower 5",10031,2025-03-04,40298.65
4,Wall Street Assets Group 4,2015-05-01,314,HeavyIndustries Corp 14,Risk profile: Medium,821,Investor V21,"32 Financial Way, Tower 4",10032,2025-04-20,5177.06
72,Prime Brokers Group 72,1992-10-04,376,TechLogix Corp 76,Risk profile: High,832,Investor G32,"517 Financial Way, Tower 3",10033,2025-04-03,8108.84
59,Nordic Capital Group 59,2003-06-19,360,BioGen Corp 60,Risk profile: Low,892,Investor O92,"90 Financial Way, Tower 2",10034,2025-04-05,17199.46
28,Global Investments Group 28,2001-07-07,309,TechLogix Corp 9,Risk profile: Low,892,Investor O92,"90 Financial Way, Tower 2",10035,2025-06-27,24187.14
95,Prime Brokers Group 95,2008-02-11,328,BioGen Corp 28,Risk profile: Medium,892,Investor O92,"90 Financial Way, Tower 2",10036,2025-10-29,49016.45
26,Prime Brokers Group 26,2013-08-06,304,BioGen Corp 4,Risk profile: Medium,882,Investor E82,"270 Financial Way, Tower 3",10037,2025-03-16,40281.31
44,Wall Street Assets Group 44,2003-05-31,348,RetailFlow Corp 48,Risk profile: High,869,Investor R69,"718 Financial Way, Tower 2",10038,2025-03-23,27898.38
24,Nordic Capital Group 24,1999-03-14,305,TechLogix Corp 5,Risk profile: Low,853,Investor B53,"962 Financial Way, Tower 2",10039,2025-10-21,36327.92
62,Apex Securities Group 62,2002-09-27,362,BioGen Corp 62,Risk profile: Medium,811,Investor L11,"165 Financial Way, Tower 1",10040,2025-01-23,22563.94
24,Nordic Capital Group 24,1999-03-14,388,RetailFlow Corp 88,Risk profile: Medium,854,Investor C54,"594 Financial Way, Tower 5",10041,2025-10-18,3368.09
2,Prime Brokers Group 2,2013-04-06,322,SoftSystems Corp 22,Risk profile: Low,822,Investor W22,"451 Financial Way, Tower 5",10042,2025-07-31,43881.33
33,Wall Street Assets Group 33,2022-06-10,319,TechLogix Corp 19,Risk profile: High,847,Investor V47,"312 Financial Way, Tower 1",10043,2025-04-08,35534.91
46,Wall Street Assets Group 46,2011-06-11,310,GreenEnergy Corp 10,Risk profile: Medium,861,Investor J61,"701 Financial Way, Tower 3",10044,2025-05-22,29855.77
65,Prime Brokers Group 65,2001-12-16,337,TechLogix Corp 37,Risk profile: High,845,Investor T45,"737 Financial Way, Tower 3",10045,2025-01-30,11661.3
26,Prime Brokers Group 26,2013-08-06,304,BioGen Corp 4,Risk profile: Medium,832,Investor G32,"517 Financial Way, Tower 3",10046,2025-09-23,33012.03
28,Global Investments Group 28,2001-07-07,309,TechLogix Corp 9,Risk profile: Low,858,Investor G58,"582 Financial Way, Tower 3",10047,2025-07-11,42520.06
49,Prime Brokers Group 49,2003-10-05,387,BioGen Corp 87,Risk profile: Medium,841,Investor P41,"24 Financial Way, Tower 3",10048,2025-05-26,4136.84
89,Global Investments Group 89,1992-06-08,400,GreenEnergy Corp 100,Risk profile: Medium,806,Investor G6,"798 Financial Way, Tower 1",10049,2025-06-28,43718.86
33,Wall Street Assets Group 33,2022-06-10,386,TechLogix Corp 86,Risk profile: High,837,Investor L37,"696 Financial Way, Tower 5",10050,2025-11-11,9156.81
2,Prime Brokers Group 2,2013-04-06,322,SoftSystems Corp 22,Risk profile: Low,862,Investor K62,"7 Financial Way, Tower 1",10051,2025-12-24,45216.14
41,Wall Street Assets Group 41,1999-01-03,381,SoftSystems Corp 81,Risk profile: Medium,885,Investor H85,"847 Financial Way, Tower 2",10052,2025-08-14,18472.77
17,Wall Street Assets Group 17,1990-07-18,383,SoftSystems Corp 83,Risk profile: Medium,846,Investor U46,"615 Financial Way, Tower 1",10053,2025-03-16,45780.97
56,Nordic Capital Group 56,1992-07-12,335,BioGen Corp 35,Risk profile: High,868,Investor Q68,"871 Financial Way, Tower 1",10054,2025-05-08,6404.9
29,Prime Brokers Group 29,2018-01-22,396,TechLogix Corp 96,Risk profile: Medium,816,Investor Q16,"710 Financial Way, Tower 1",10055,2025-11-21,29973.27
2,Prime Brokers Group 2,2013-04-06,322,SoftSystems Corp 22,Risk profile: Low,805,Investor F5,"908 Financial Way, Tower 3",10056,2025-01-20,38665.23
65,Prime Brokers Group 65,2001-12-16,346,RetailFlow Corp 46,Risk profile: Low,876,Investor Y76,"392 Financial Way, Tower 1",10057,2025-10-09,5585.92
3,Prime Brokers Group 3,1997-07-28,345,TechLogix Corp 45,Risk profile: Low,861,Investor J61,"701 Financial Way, Tower 3",10058,2025-12-26,42100.08
24,Nordic Capital Group 24,1999-03-14,305,TechLogix Corp 5,Risk profile: Low,826,Investor A26,"756 Financial Way, Tower 4",10059,2025-01-16,47152.7
49,Prime Brokers Group 49,2003-10-05,387,BioGen Corp 87,Risk profile: Medium,855,Investor D55,"647 Financial Way, Tower 4",10060,2025-04-23,45214.57
59,Nordic Capital Group 59,2003-06-19,360,BioGen Corp 60,Risk profile: Low,888,Investor K88,"497 Financial Way, Tower 1",10061,2025-04-24,48155.46
70,Apex Securities Group 70,2017-03-01,366,BioGen Corp 66,Risk profile: High,879,Investor B79,"945 Financial Way, Tower 2",10062,2025-04-22,6183.6
64,Prime Brokers Group 64,2012-01-07,344,SoftSystems Corp 44,Risk profile: Low,829,Investor D29,"64 Financial Way, Tower 2",10063,2025-07-30,38025.07
12,Prime Brokers Group 12,1998-04-07,315,SoftSystems Corp 15,Risk profile: Medium,848,Investor W48,"369 Financial Way, Tower 1",10064,2025-04-16,41129.29
75,Global Investments Group 75,2021-05-06,354,TechLogix Corp 54,Risk profile: High,895,Investor R95,"963 Financial Way, Tower 3",10065,2025-10-22,32661.78
92,Prime Brokers Group 92,1992-04-24,311,BioGen Corp 11,Risk profile: Low,806,Investor G6,"798 Financial Way, Tower 1",10066,2025-05-24,1709.93
18,Nordic Capital Group 18,2019-04-07,359,HeavyIndustries Corp 59,Risk profile: Low,823,Investor X23,"876 Financial Way, Tower 4",10067,2025-12-21,46877.9
40,Global Investments Group 40,2006-11-23,320,SoftSystems Corp 20,Risk profile: Medium,898,Investor U98,"971 Financial Way, Tower 3",10068,2025-01-09,28638.73
64,Prime Brokers Group 64,2012-01-07,340,BioGen Corp 40,Risk profile: High,806,Investor G6,"798 Financial Way, Tower 1",10069,2025-11-25,6638.52
13,Global Investments Group 13,1999-06-17,349,SoftSystems Corp 49,Risk profile: High,847,Investor V47,"312 Financial Way, Tower 1",10070,2025-02-11,34171.82
41,Wall Street Assets Group 41,1999-01-03,329,HeavyIndustries Corp 29,Risk profile: High,804,Investor E4,"755 Financial Way, Tower 4",10071,2025-02-14,37448.29
34,Prime Brokers Group 34,2010-08-31,313,RetailFlow Corp 13,Risk profile: Low,898,Investor U98,"971 Financial Way, Tower 3",10072,2025-03-08,14196.83
62,Apex Securities Group 62,2002-09-27,382,RetailFlow Corp 82,Risk profile: High,893,Investor P93,"686 Financial Way, Tower 1",10073,2025-09-06,23020.1
64,Prime Brokers Group 64,2012-01-07,344,SoftSystems Corp 44,Risk profile: Low,829,Investor D29,"64 Financial Way, Tower 2",10074,2025-11-30,33649.53
87,Wall Street Assets Group 87,2021-11-29,327,BioGen Corp 27,Risk profile: High,867,Investor P67,"737 Financial Way, Tower 3",10075,2025-04-03,35289.57
86,Wall Street Assets Group 86,1998-09-15,336,BioGen Corp 36,Risk profile: High,801,Investor B1,"567 Financial Way, Tower 4",10076,2025-12-15,18211.12
44,Wall Street Assets Group 44,2003-05-31,348,RetailFlow Corp 48,Risk profile: High,821,Investor V21,"32 Financial Way, Tower 4",10077,2025-10-25,17892.95
77,Global Investments Group 77,1994-04-25,392,HeavyIndustries Corp 92,Risk profile: Low,882,Investor E82,"270 Financial Way, Tower 3",10078,2025-12-01,44919.22
70,Apex Securities Group 70,2017-03-01,357,BioGen Corp 57,Risk profile: High,860,Investor I60,"833 Financial Way, Tower 4",10079,2025-05-03,16631.41
93,Nordic Capital Group 93,2007-11-07,385,SoftSystems Corp 85,Risk profile: High,817,Investor R17,"509 Financial Way, Tower 3",10080,2025-08-18,10657.0
31,Apex Securities Group 31,2010-02-25,351,TechLogix Corp 51,Risk profile: High,866,Investor O66,"796 Financial Way, Tower 1",10081,2025-08-24,31830.09
41,Wall Street Assets Group 41,1999-01-03,374,GreenEnergy Corp 74,Risk profile: High,861,Investor J61,"701 Financial Way, Tower 3",10082,2025-10-31,46266.54
56,Nordic Capital Group 56,1992-07-12,325,TechLogix Corp 25,Risk profile: Medium,871,Investor T71,"907 Financial Way, Tower 3",10083,2025-10-03,27980.21
54,Wall Street Assets Group 54,2007-09-13,308,HeavyIndustries Corp 8,Risk profile: Medium,817,Investor R17,"509 Financial Way, Tower 3",10084,2025-09-27,43592.59
28,Global Investments Group 28,2001-07-07,399,HeavyIndustries Corp 99,Risk profile: Medium,808,Investor I8,"512 Financial Way, Tower 3",10085,2025-07-05,27287.12
70,Apex Securities Group 70,2017-03-01,358,RetailFlow Corp 58,Risk profile: Low,879,Investor B79,"945 Financial Way, Tower 2",10086,2025-03-28,32026.56
46,Wall Street Assets Group 46,2011-06-11,310,GreenEnergy Corp 10,Risk profile: Medium,882,Investor E82,"270 Financial Way, Tower 3",10087,2025-12-08,33959.25
44,Wall Street Assets Group 44,2003-05-31,341,HeavyIndustries Corp 41,Risk profile: Medium,805,Investor F5,"908 Financial Way, Tower 3",10088,2025-07-13,32036.18
50,Apex Securities Group 50,2014-10-01,372,HeavyIndustries Corp 72,Risk profile: Medium,879,Investor B79,"945 Financial Way, Tower 2",10089,2025-03-02,15682.23
12,Prime Brokers Group 12,1998-04-07,315,SoftSystems Corp 15,Risk profile: Medium,812,Investor M12,"978 Financial Way, Tower 2",10090,2025-10-03,2425.33
34,Prime Brokers Group 34,2010-08-31,313,RetailFlow Corp 13,Risk profile: Low,865,Investor N65,"277 Financial Way, Tower 2",10091,2025-12-07,46094.72
18,Nordic Capital Group 18,2019-04-07,316,TechLogix Corp 16,Risk profile: High,833,Investor H33,"949 Financial Way, Tower 4",10092,2025-06-28,6119.44
69,Global Investments Group 69,2002-01-05,370,BioGen Corp 70,Risk profile: Medium,807,Investor H7,"563 Financial Way, Tower 5",10093,2025-09-18,32473.31
97,Apex Securities Group 97,2013-01-25,347,GreenEnergy Corp 47,Risk profile: High,821,Investor V21,"32 Financial Way, Tower 4",10094,2025-02-20,6626.65
95,Prime Brokers Group 95,2008-02-11,328,BioGen Corp 28,Risk profile: Medium,828,Investor C28,"610 Financial Way, Tower 3",10095,2025-06-07,45442.01
12,Prime Brokers Group 12,1998-04-07,318,GreenEnergy Corp 18,Risk profile: Low,819,Investor T19,"238 Financial Way, Tower 3",10096,2025-03-20,19521.51
40,Global Investments Group 40,2006-11-23,320,SoftSystems Corp 20,Risk profile: Medium,811,Investor L11,"165 Financial Way, Tower 1",10097,2025-12-09,3419.17
44,Wall Street Assets Group 44,2003-05-31,348,RetailFlow Corp 48,Risk profile: High,831,Investor F31,"372 Financial Way, Tower 2",10098,2025-05-24,7537.29
73,Apex Securities Group 73,2006-05-24,350,TechLogix Corp 50,Risk profile: High,884,Investor G84,"148 Financial Way, Tower 5",10099,2025-07-30,49134.72
11,Prime Brokers Group 11,2011-08-27,326,HeavyIndustries Corp 26,Risk profile: High,870,Investor S70,"271 Financial Way, Tower 5",10100,2025-02-05,48891.74
34,Prime Brokers Group 34,2010-08-31,313,RetailFlow Corp 13,Risk profile: Low,837,Investor L37,"696 Financial Way, Tower 5",10101,2025-01-16,11763.63
68,Nordic Capital Group 68,1991-08-04,321,RetailFlow Corp 21,Risk profile: High,802,Investor C2,"242 Financial Way, Tower 2",10102,2025-05-20,26502.72
34,Prime Brokers Group 34,2010-08-31,313,RetailFlow Corp 13,Risk profile: Low,803,Investor D3,"148 Financial Way, Tower 4",10103,2025-07-06,27511.66
70,Apex Securities Group 70,2017-03-01,366,BioGen Corp 66,Risk profile: High,853,Investor B53,"962 Financial Way, Tower 2",10104,2025-03-31,23060.39
49,Prime Brokers Group 49,2003-10-05,387,BioGen Corp 87,Risk profile: Medium,870,Investor S70,"271 Financial Way, Tower 5",10105,2025-08-18,15731.08
12,Prime Brokers Group 12,1998-04-07,315,SoftSystems Corp 15,Risk profile: Medium,900,Investor W100,"386 Financial Way, Tower 1",10106,2025-07-31,38091.16
86,Wall Street Assets Group 86,1998-09-15,332,HeavyIndustries Corp 32,Risk profile: Medium,827,Investor B27,"316 Financial Way, Tower 3",10107,2025-06-04,43709.04
56,Nordic Capital Group 56,1992-07-12,335,BioGen Corp 35,Risk profile: High,873,Investor V73,"59 Financial Way, Tower 3",10108,2025-09-11,18708.62
20,Apex Securities Group 20,2010-12-24,384,RetailFlow Corp 84,Risk profile: Low,815,Investor P15,"601 Financial Way, Tower 4",10109,2025-12-31,22260.39
92,Prime Brokers Group 92,1992-04-24,311,BioGen Corp 11,Risk profile: Low,891,Investor N91,"383 Financial Way, Tower 4",10110,2025-07-30,28712.66
62,Apex Securities Group 62,2002-09-27,362,BioGen Corp 62,Risk profile: Medium,834,Investor I34,"270 Financial Way, Tower 5",10111,2025-03-20,31828.15
19,Global Investments Group 19,2021-03-28,355,BioGen Corp 55,Risk profile: Medium,848,Investor W48,"369 Financial Way, Tower 1",10112,2025-02-12,42022.73
59,Nordic Capital Group 59,2003-06-19,393,BioGen Corp 93,Risk profile: High,864,Investor M64,"892 Financial Way, Tower 2",10113,2025-10-24,10242.54
64,Prime Brokers Group 64,2012-01-07,340,BioGen Corp 40,Risk profile: High,862,Investor K62,"7 Financial Way, Tower 1",10114,2025-09-23,42347.37
60,Global Investments Group 60,2003-02-01,363,RetailFlow Corp 63,Risk profile: Medium,805,Investor F5,"908 Financial Way, Tower 3",10115,2025-03-30,4170.14
93,Nordic Capital Group 93,2007-11-07,352,RetailFlow Corp 52,Risk profile: Medium,900,Investor W100,"386 Financial Way, Tower 1",10116,2025-01-27,2238.9
99,Prime Brokers Group 99,1998-11-02,395,HeavyIndustries Corp 95,Risk profile: Low,832,Investor G32,"517 Financial Way, Tower 3",10117,2025-05-24,34300.5
72,Prime Brokers Group 72,1992-10-04,376,TechLogix Corp 76,Risk profile: High,822,Investor W22,"451 Financial Way, Tower 5",10118,2025-10-19,29972.12
26,Prime Brokers Group 26,2013-08-06,304,BioGen Corp 4,Risk profile: Medium,823,Investor X23,"876 Financial Way, Tower 4",10119,2025-06-25,36938.51
54,Wall Street Assets Group 54,2007-09-13,308,HeavyIndustries Corp 8,Risk profile: Medium,817,Investor R17,"509 Financial Way, Tower 3",10120,2025-03-16,22131.77
26,Prime Brokers Group 26,2013-08-06,304,BioGen Corp 4,Risk profile: Medium,807,Investor H7,"563 Financial Way, Tower 5",10121,2025-08-24,22220.51
46,Wall Street Assets Group 46,2011-06-11,324,BioGen Corp 24,Risk profile: Low,885,Investor H85,"847 Financial Way, Tower 2",10122,2025-10-05,43357.37
3,Prime Brokers Group 3,1997-07-28,330,SoftSystems Corp 30,Risk profile: High,893,Investor P93,"686 Financial Way, Tower 1",10123,2025-03-15,42354.23
93,Nordic Capital Group 93,2007-11-07,352,RetailFlow Corp 52,Risk profile: Medium,881,Investor D81,"498 Financial Way, Tower 2",10124,2025-11-20,34235.69
64,Prime Brokers Group 64,2012-01-07,340,BioGen Corp 40,Risk profile: High,821,Investor V21,"32 Financial Way, Tower 4",10125,2025-06-29,27366.38
15,Global Investments Group 15,2021-06-23,389,SoftSystems Corp 89,Risk profile: High,829,Investor D29,"64 Financial Way, Tower 2",10126,2025-04-14,23754.79
35,Wall Street Assets Group 35,1994-05-22,368,TechLogix Corp 68,Risk profile: Low,833,Investor H33,"949 Financial Way, Tower 4",10127,2025-10-26,20885.71
24,Nordic Capital Group 24,1999-03-14,305,TechLogix Corp 5,Risk profile: Low,858,Investor G58,"582 Financial Way, Tower 3",10128,2025-05-18,32607.59
77,Global Investments Group 77,1994-04-25,392,HeavyIndustries Corp 92,Risk profile: Low,816,Investor Q16,"710 Financial Way, Tower 1",10129,2025-08-30,47100.67
92,Prime Brokers Group 92,1992-04-24,311,BioGen Corp 11,Risk profile: Low,897,Investor T97,"647 Financial Way, Tower 5",10130,2025-02-24,31591.4
22,Nordic Capital Group 22,1991-10-29,334,HeavyIndustries Corp 34,Risk profile: Medium,814,Investor O14,"372 Financial Way, Tower 2",10131,2025-08-06,46885.16
50,Apex Securities Group 50,2014-10-01,372,HeavyIndustries Corp 72,Risk profile: Medium,852,Investor A52,"525 Financial Way, Tower 1",10132,2025-02-07,27245.56
89,Global Investments Group 89,1992-06-08,400,GreenEnergy Corp 100,Risk profile: Medium,831,Investor F31,"372 Financial Way, Tower 2",10133,2025-08-16,47285.03
77,Global Investments Group 77,1994-04-25,392,HeavyIndustries Corp 92,Risk profile: Low,900,Investor W100,"386 Financial Way, Tower 1",10134,2025-03-12,31844.17
64,Prime Brokers Group 64,2012-01-07,340,BioGen Corp 40,Risk profile: High,873,Investor V73,"59 Financial Way, Tower 3",10135,2025-03-16,27097.17
41,Wall Street Assets Group 41,1999-01-03,374,GreenEnergy Corp 74,Risk profile: High,887,Investor J87,"772 Financial Way, Tower 3",10136,2025-05-20,2821.53
